CompanyId,CompanyName,FilingDate,RestatementType1,RestatementType2,RestatementType3,SectorName,SectorId
3545,"Alico Inc.","12/15/2008","OTH","","","Consumer Non-Cyclical",4
5337,"American Israel Paper Mills Ltd.","6/23/2008","OTH","","","Basic Materials",1
9263,"Michael Baker Corp.","6/30/2008","RR","","","Services",8
10254,"Basic Earth Science Systems, Inc.","7/11/2008","OTH","OTH","","Energy",5
10329,"Bassett Furniture Industries Inc.","2/7/2008","OTH","OTH","","Consumer Cyclical",3
14195,"Briggs & Stratton Corp.","5/9/2008","ER","OTH","OTH","Capital Goods",2
17313,"Capital Southwest Corp.","1/9/2008","OTH","","","Financial",6
22551,"Tri Valley Corp.","2/12/2008","OTH","","","Energy",5
23082,"Computer Sciences Corp.","1/11/2008","OTH","","","Technology",9
23666,"Sara Lee Corp.","5/6/2008","OTH","","","Consumer Non-Cyclical",4
25354,"CPI Corp","5/13/2008","OTH","","","Consumer Cyclical",3
28630,"DRS Technologies, Inc.","5/30/2008","ER","","","Capital Goods",2
28823,"Diebold Inc.","9/30/2008","RR","OTH","OTH","Technology",9
28917,"Dillards Inc","4/2/2008","OTH","","","Services",8
29806,"Constar International Inc.","3/31/2008","OTH"," ER","OTH","Basic Materials",1
31347,"Echelon Corp.","5/16/2008","ER","","","Technology",9
33113,"Environmental Tectonics Corp.","5/29/2008","OTH","OTH","","Technology",9
36369,"FIRST HARTFORD CORP","8/29/2008","OTH","","","Services",8
37008,"Winthrop Realty Trust","1/7/2008","OTH","","","Services",8
37472,"Flexsteel Industries Inc.","9/15/2008","OTH"," ER","","Consumer Cyclical",3
40730,"General Motors Corp.","2/28/2008","OTH","","","Consumer Cyclical",3
42136,"Chang-On International, Inc.","5/20/2008","OTH","","","Basic Materials",1
49534,"Life Partners Holdings Inc.","5/15/2008","OTH","","","Financial",6
49534,"Life Partners Holdings Inc.","5/16/2008","OTH","OTH","","Financial",6
54424,"X-Change","4/14/2008","OTH"," ER","OTH","Financial",6
57055,"KV Pharmaceutical Co.","3/25/2008","ER"," RR","","Healthcare",7
59478,"Eli Lilly & Co.","10/21/2008","OTH","","","Healthcare",7
61004,"Lynch Corp","5/13/2008","OTH"," ER","","Basic Materials",1
61500,"Fuda Faucet Works Inc.","6/12/2008","OTH","","","Capital Goods",2
65100,"Merrill Lynch & Co. Inc.","2/25/2008","OTH","","","Financial",6
65201,"Met-Pro Corporation","2/12/2008","RR","","","Capital Goods",2
72170,"Millennium Biotechnologies Group, Inc.","5/20/2008","OTH","","","Technology",9
72911,"Nortel Networks Corp.","5/2/2008","OTH","","","Technology",9
75829,"Pall Corporation","3/28/2008","OTH","","","Technology",9
77155,"The Penn Traffic Co.","4/18/2008","OTH","OTH","","Services",8
80035,"Preformed Line Products Co.","1/4/2008","OTH","","","Capital Goods",2
82628,"Symmetricom Inc.","6/17/2008","ER","","","Technology",9
83402,"Resource America Inc.","5/19/2008","OTH","","","Financial",6
85535,"Royal Gold Inc.","11/6/2008","RR","","","Basic Materials",1
93456,"Standard Register Co.","3/11/2008","OTH","OTH","","Consumer Non-Cyclical",4
93676,"STARRETT L S CO","9/11/2008","OTH","","","Capital Goods",2
95029,"Sturm Ruger & Co. Inc.","7/24/2008","OTH","","","Consumer Cyclical",3
95552,"Superior Industries International, Inc.","3/31/2008","OTH","OTH","","Consumer Cyclical",3
97196,"AMERICAN INDEPENDENCE CORP","8/11/2008","OTH","","","Financial",6
100716,"UNICO AMERICAN CORP","8/13/2008","RR","","","Financial",6
106455,"Westmoreland Coal Co.","3/17/2008","ER","OTH","","Energy",5
109757,"Commerce Group Corp.","7/15/2008","ER","OTH","","Basic Materials",1
215219,"Voyager Learning Co","9/17/2008","ER","","","Services",8
216748,"Oakridge Energy Inc.","6/13/2008","OTH","OTH","","Services",8
275053,"Natures Sunshine Products Inc","10/7/2008","RR"," ER","OTH","Consumer Non-Cyclical",4
277924,"Credo Petroleum Corp","9/15/2008","OTH","","","Energy",5
311817,"HMG Courtland Properties, Inc.","3/14/2008","OTH","","","Services",8
312257,"Innovative Food Holdings Inc.","7/31/2008","OTH","","","Consumer Non-Cyclical",4
315852,"Range Resources Corp.","7/23/2009","OTH"," ER","","Energy",5
